latitude,rating,url,name,longitude
,,https://www.tripadvisor.in/Restaurant_Review-g297592-d5909865-Reviews-Santushti_Restaurant-Patna_Bihar.html,,
25.59338,,https://www.tripadvisor.in/Restaurant_Review-g297592-d5997830-Reviews-Biryani_Momo_House-Patna_Bihar.html,Biryani & Momo House,85.1508
,,https://www.tripadvisor.in/Restaurant_Review-g297592-d5997976-Reviews-Taj_Restaurant-Patna_Bihar.html,,
,,https://www.tripadvisor.in/Restaurant_Review-g297592-d5998177-Reviews-Tikka_Express-Patna_Bihar.html,,
,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d3351107-Reviews-Mamta_Restaurent_Bar-Patna_Bihar.html,,
25.59956,1,https://www.tripadvisor.in/Restaurant_Review-g297592-d5999277-Reviews-Well_Food_Restaurant-Patna_Bihar.html,Well Food Restaurant,85.14789
,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d3649253-Reviews-In_Flight_Kitchen-Patna_Bihar.html,,
,2,https://www.tripadvisor.in/Restaurant_Review-g297592-d5071350-Reviews-Biryani_Express-Patna_Bihar.html,,
25.62254,2.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d5897808-Reviews-Ambar_Restaurant-Patna_Bihar.html,Ambar Restaurant,85.1334
,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d3576150-Reviews-TYC_Patna-Patna_Bihar.html,,
,3,https://www.tripadvisor.in/Restaurant_Review-g297592-d3351119-Reviews-Patna_Airport_Restaurent-Patna_Bihar.html,,
25.596077,2,https://www.tripadvisor.in/Restaurant_Review-g297592-d3379557-Reviews-Budha_Vihar_Food_Plaza-Patna_Bihar.html,Budha Vihar Food Plaza,85.07629
,,https://www.tripadvisor.in/Restaurant_Review-g297592-d7368954-Reviews-Biryani_Darbar-Patna_Bihar.html,,
25.59556,,https://www.tripadvisor.in/Restaurant_Review-g297592-d5998509-Reviews-Regency_Bar_and_Restaurant-Patna_Bihar.html,Regency Bar and Restaurant,85.11578
25.61773,,https://www.tripadvisor.in/Restaurant_Review-g297592-d5997324-Reviews-Suruchi_Restaurant_and_Sweets-Patna_Bihar.html,Suruchi Restaurant and Sweets,85.15494
25.596203,,https://www.tripadvisor.in/Restaurant_Review-g297592-d5990452-Reviews-Puja_Restaurant-Patna_Bihar.html,Puja Restaurant,85.144844
,,https://www.tripadvisor.in/Restaurant_Review-g297592-d8774357-Reviews-Abhiruchi_restaurant-Patna_Bihar.html,,
25.596733,3.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d5786535-Reviews-ROLL_Mafia-Patna_Bihar.html,ROLL Mafia,85.095276
25.61583,,https://www.tripadvisor.in/Restaurant_Review-g297592-d5909109-Reviews-Restaurant_Malgdli-Patna_Bihar.html,Restaurant Malgdli,85.16004
25.623781,,https://www.tripadvisor.in/Restaurant_Review-g297592-d5786456-Reviews-Indo_Chinese-Patna_Bihar.html,Indo-Chinese,85.11647
,,https://www.tripadvisor.in/Restaurant_Review-g297592-d5071358-Reviews-Bar_Bq_Restaurant-Patna_Bihar.html,,
25.58675,,https://www.tripadvisor.in/Restaurant_Review-g297592-d10277271-Reviews-The_Fountain_Eats_and_Sweets-Patna_Bihar.html,The Fountain Eats and Sweets,85.178734
25.616804,,https://www.tripadvisor.in/Restaurant_Review-g297592-d5071361-Reviews-Bombay_One-Patna_Bihar.html,Bombay One,85.11331
,,https://www.tripadvisor.in/Restaurant_Review-g297592-d5071366-Reviews-Domino_s_Pizza-Patna_Bihar.html,,
,,https://www.tripadvisor.in/Restaurant_Review-g297592-d5071362-Reviews-Geetanjali_Hotel_Restaurant-Patna_Bihar.html,,
,3,https://www.tripadvisor.in/Restaurant_Review-g297592-d4698742-Reviews-Soda_Fountain_Milk_Bar_Restaurant-Patna_Bihar.html,,
25.57878,3,https://www.tripadvisor.in/Restaurant_Review-g297592-d7389649-Reviews-RAJ_HOTEL-Patna_Bihar.html,RAJ HOTEL,85.08806
25.61006,3,https://www.tripadvisor.in/Restaurant_Review-g297592-d5904840-Reviews-Madhuban_Restaurant-Patna_Bihar.html,Madhuban Restaurant,85.13638
,3.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d3532797-Reviews-Mausam_Munch-Patna_Bihar.html,,
25.6,3.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d5897934-Reviews-Ananad_Restaurant-Patna_Bihar.html,Ananad Restaurant,85.1167
25.615934,3.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d5786419-Reviews-The_BEAN_JAR_cafe-Patna_Bihar.html,The BEAN JAR cafe,85.1207
,3.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d6542506-Reviews-Masala_Junction_Restaurant-Patna_Bihar.html,,
25.60203,2.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d6728320-Reviews-Hotel_Kautilya_Vihar_Patna-Patna_Bihar.html,"Hotel Kautilya Vihar, Patna",85.11194
,3.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d5997984-Reviews-Zaika-Patna_Bihar.html,,
25.61006,3.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d5071352-Reviews-Bisaka_s_Moments-Patna_Bihar.html,Bisaka's Moments,85.13638
25.61354,3.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d9744801-Reviews-Red_Chilli_Multi_Cuisine_Restaurant-Patna_Bihar.html,Red Chilli Multi Cuisine Restaurant,85.08215
25.61162,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d4698735-Reviews-Raj_Darbar-Patna_Bihar.html,Raj Darbar,85.14364
25.61593,3.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d5071372-Reviews-Heritage_Restaurant-Patna_Bihar.html,Heritage Restaurant,85.14328
,3.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d8008909-Reviews-Sagar_Ratna-Patna_Bihar.html,,
25.616804,3.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d9781703-Reviews-Rail_Restro-Patna_Bihar.html,Rail Restro,85.11331
25.626291,3.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d7149534-Reviews-Cream_Fudge-Patna_Bihar.html,Cream & Fudge,85.1017
,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d8440717-Reviews-The_Bridge-Patna_Bihar.html,,
